Date,Open,High,Low,Close,Volume,Adj Close
2013-05-17,439.05,440.09,431.01,433.26,15282300,433.26
2013-05-16,423.24,437.85,418.90,434.58,21543000,434.58
2013-05-15,439.16,441.00,422.36,428.85,26486200,428.85
2013-05-14,453.85,455.20,442.15,443.86,15968500,443.86
2013-05-13,451.51,457.90,451.50,454.74,11319600,454.74
2013-05-10,457.97,459.71,450.48,452.97,11959000,452.97
2013-05-09,459.81,463.00,455.58,456.77,14231700,456.77
2013-05-08,459.04,465.37,455.81,463.84,16878500,460.79
2013-05-07,464.97,465.75,453.70,458.66,17276900,455.64
2013-05-06,455.71,462.20,454.31,460.71,17737200,457.68
2013-05-03,451.31,453.23,449.15,449.98,12903600,447.02
2013-05-02,441.78,448.59,440.63,445.52,15065300,442.59
2013-05-01,444.46,444.93,434.39,439.29,18103900,436.40
2013-04-30,435.10,445.25,432.07,442.78,24697800,439.87
2013-04-29,420.45,433.62,420.00,430.12,22868800,427.29
2013-04-26,409.81,418.77,408.25,417.20,27289200,414.46
2013-04-25,411.23,413.94,407.00,408.38,13744200,405.69
2013-04-24,393.54,415.25,392.50,405.46,34630400,402.79
2013-04-23,403.99,408.38,398.81,406.13,23722800,403.46
2013-04-22,392.64,402.20,391.27,398.67,15354300,396.05
2013-04-19,387.97,399.60,385.10,390.53,21759800,387.96
2013-04-18,404.99,405.79,389.74,392.05,23796400,389.47
2013-04-17,420.27,420.60,398.11,402.80,33752000,400.15
2013-04-16,421.57,426.61,420.57,426.24,10920400,423.44
2013-04-15,427.00,427.89,419.55,419.85,11340000,417.09
2013-04-12,434.15,434.15,429.09,429.80,8521900,426.97
2013-04-11,433.72,437.99,431.20,434.33,11727300,431.47
2013-04-10,428.10,437.06,426.01,435.69,13426000,432.83
2013-04-09,426.36,428.50,422.75,426.98,10950500,424.17
2013-04-08,424.85,427.50,422.49,426.21,10743900,423.41
2013-04-05,424.50,424.95,419.68,423.20,13703400,420.42
2013-04-04,433.76,435.00,425.25,427.72,12801700,424.91
2013-04-03,431.37,437.28,430.31,431.99,12972000,429.15
2013-04-02,427.60,438.14,426.40,429.79,18911400,426.96
2013-04-01,441.90,443.70,427.74,428.91,13919000,426.09
2013-03-28,449.82,451.82,441.62,442.66,15815700,439.75
2013-03-27,456.46,456.80,450.73,452.08,11829900,449.11
2013-03-26,465.44,465.84,460.53,461.14,10510500,458.11
2013-03-25,464.69,469.95,461.78,463.58,17897700,460.53
2013-03-22,454.58,462.10,453.11,461.91,14110900,458.87
2013-03-21,450.22,457.98,450.10,452.73,13687700,449.75
2013-03-20,457.42,457.63,449.59,452.08,11023600,449.11
2013-03-19,459.50,460.97,448.50,454.49,18813400,451.50
2013-03-18,441.45,457.46,441.20,455.72,21649900,452.72
2013-03-15,437.93,444.23,437.25,443.66,22998600,440.74
2013-03-14,432.83,434.64,430.45,432.50,10852700,429.66
2013-03-13,428.45,434.50,425.36,428.35,14483900,425.53
2013-03-12,435.60,438.88,427.57,428.43,16639700,425.61
2013-03-11,429.75,439.01,425.14,437.87,16937000,434.99
