Date,Open,High,Low,Close,Volume,Adj Close
2013-05-17,1.90,1.96,1.81,1.93,486900,1.93
2013-05-16,2.02,2.04,1.85,1.86,759100,1.86
2013-05-15,2.09,2.20,1.82,1.99,1247200,1.99
2013-05-14,2.18,2.40,1.95,2.05,4563600,2.05
2013-05-13,1.66,1.95,1.66,1.92,1045300,1.92
2013-05-10,1.51,1.64,1.50,1.61,311800,1.61
2013-05-09,1.45,1.63,1.45,1.55,498300,1.55
2013-05-08,1.54,1.55,1.46,1.48,193400,1.48
2013-05-07,1.65,1.67,1.40,1.47,585500,1.47
2013-05-06,1.55,1.65,1.52,1.64,498800,1.64
2013-05-03,1.62,1.66,1.41,1.50,822700,1.50
2013-05-02,1.84,1.84,1.60,1.61,641800,1.61
2013-05-01,1.90,1.93,1.75,1.78,225900,1.78
2013-04-30,1.97,1.98,1.74,1.86,494100,1.86
2013-04-29,1.77,1.99,1.72,1.87,706200,1.87
2013-04-26,2.00,2.00,1.68,1.74,1032400,1.74
2013-04-25,1.70,1.94,1.70,1.90,1291300,1.90
2013-04-24,1.50,1.69,1.49,1.69,791700,1.69
2013-04-23,1.36,1.55,1.36,1.49,569900,1.49
2013-04-22,1.32,1.40,1.25,1.34,349600,1.34
2013-04-19,1.35,1.37,1.19,1.27,879000,1.27
2013-04-18,1.51,1.64,1.35,1.37,1005600,1.37
2013-04-17,1.34,1.56,1.31,1.49,1837100,1.49
2013-04-16,1.18,1.54,1.12,1.30,2693800,1.30
2013-04-15,1.23,1.30,0.95,0.96,477500,0.96
2013-04-12,1.26,1.28,1.17,1.19,343800,1.19
2013-04-11,1.23,1.27,1.20,1.24,218900,1.24
2013-04-10,1.23,1.23,1.13,1.20,376700,1.20
2013-04-09,1.23,1.23,1.13,1.21,433600,1.21
2013-04-08,1.04,1.16,1.04,1.11,527900,1.11
2013-04-05,1.02,1.05,0.96,1.03,189400,1.03
2013-04-04,0.95,1.01,0.95,1.01,149100,1.01
2013-04-03,1.00,1.00,0.93,0.98,94300,0.98
2013-04-02,0.98,1.02,0.95,0.97,522000,0.97
2013-04-01,0.97,0.97,0.94,0.96,53800,0.96
2013-03-28,0.93,0.98,0.89,0.94,96000,0.94
2013-03-27,0.88,0.94,0.86,0.93,60600,0.93
2013-03-26,0.90,0.95,0.86,0.87,88300,0.87
2013-03-25,0.96,0.96,0.88,0.90,142500,0.90
2013-03-22,0.91,0.97,0.90,0.95,128700,0.95
2013-03-21,0.85,0.92,0.79,0.92,198800,0.92
2013-03-20,0.83,0.85,0.79,0.82,189600,0.82
2013-03-19,0.82,0.84,0.79,0.79,53600,0.79
2013-03-18,0.79,0.84,0.78,0.79,136400,0.79
2013-03-15,0.82,0.86,0.79,0.83,195400,0.83
2013-03-14,0.87,0.94,0.83,0.85,343400,0.85
2013-03-13,1.00,1.05,0.92,0.93,451100,0.93
2013-03-12,0.95,1.00,0.93,1.00,416300,1.00
2013-03-11,0.89,0.94,0.86,0.92,337300,0.92
2013-03-08,0.83,0.85,0.80,0.85,139800,0.85
2013-03-07,0.85,0.90,0.79,0.80,345000,0.80
2013-03-06,0.84,0.85,0.76,0.82,83000,0.82
2013-03-05,0.74,0.82,0.74,0.81,224400,0.81
2013-03-04,0.76,0.78,0.74,0.74,128000,0.74
2013-03-01,0.76,0.80,0.75,0.76,61100,0.76
2013-02-28,0.80,0.80,0.76,0.76,49800,0.76
