Date,Open,High,Low,Close,Volume,Adj Close
2013-05-17,910.02,913.49,900.52,909.18,2792000,909.18
2013-05-16,919.00,919.98,902.01,903.87,3209600,903.87
2013-05-15,895.50,916.38,894.02,915.89,3985900,915.89
2013-05-14,877.50,888.69,877.14,887.10,1579300,887.10
2013-05-13,878.89,882.47,873.38,877.53,1448500,877.53
2013-05-10,875.31,880.54,872.16,880.23,1897700,880.23
2013-05-09,870.84,879.66,868.23,871.48,2200600,871.48
2013-05-08,857.00,873.88,852.91,873.63,2468300,873.63
2013-05-07,863.01,863.87,850.67,857.23,1959000,857.23
2013-05-06,848.26,861.85,848.26,861.55,2141300,861.55
2013-05-03,836.96,846.80,836.00,845.72,2512600,845.72
2013-05-02,820.10,834.55,819.05,829.61,2018300,829.61
2013-05-01,823.26,824.72,816.36,820.43,1455000,820.43
2013-04-30,819.00,827.64,817.68,824.57,2306700,824.57
2013-04-29,803.25,822.70,803.00,819.06,2300800,819.06
2013-04-26,807.60,807.74,796.58,801.42,2487700,801.42
2013-04-25,816.25,816.47,807.63,809.10,1992200,809.10
2013-04-24,808.11,818.00,808.00,813.45,1829100,813.45
2013-04-23,801.00,815.50,800.36,807.90,2292300,807.90
2013-04-22,800.60,803.96,775.00,800.11,2883400,800.11
2013-04-19,769.16,803.44,766.26,799.87,5803200,799.87
2013-04-18,785.35,785.80,761.26,765.91,3322500,765.91
2013-04-17,786.75,790.84,778.10,782.56,2037000,782.56
2013-04-16,786.59,796.00,783.92,793.37,1742000,793.37
2013-04-15,785.95,797.00,777.02,781.93,2453100,781.93
2013-04-12,791.99,792.10,782.93,790.05,1636700,790.05
2013-04-11,792.88,793.10,784.06,790.39,2028700,790.39
2013-04-10,782.92,792.35,776.00,790.18,1978600,790.18
2013-04-09,775.50,783.75,773.11,777.65,2157300,777.65
2013-04-08,778.75,779.55,768.40,774.85,2832100,774.85
2013-04-05,786.06,786.99,776.40,783.05,3433900,783.05
2013-04-04,804.25,805.75,791.30,795.07,2447600,795.07
2013-04-03,813.46,814.20,800.67,806.20,1738500,806.20
2013-04-02,804.54,814.83,804.00,813.04,2041500,813.04
2013-04-01,795.01,802.25,793.25,801.19,1807300,801.19
2013-03-28,803.99,805.37,793.30,794.19,2287800,794.19
2013-03-27,806.68,807.00,801.33,802.66,2163200,802.66
2013-03-26,813.50,814.00,807.79,812.42,1191900,812.42
2013-03-25,812.41,819.23,806.82,809.64,1712000,809.64
2013-03-22,814.74,815.24,809.64,810.31,1488200,810.31
2013-03-21,811.29,816.92,809.85,811.26,1477600,811.26
2013-03-20,816.83,817.51,811.44,814.71,1463800,814.71
2013-03-19,811.24,819.25,806.45,811.32,2098200,811.32
2013-03-18,805.00,812.76,801.47,807.79,1838300,807.79
2013-03-15,818.50,820.30,813.34,814.30,3099700,814.30
2013-03-14,826.99,826.99,817.39,821.54,1651200,821.54
2013-03-13,827.90,830.69,822.31,825.31,1641300,825.31
2013-03-12,830.71,831.89,823.67,827.61,2008300,827.61
2013-03-11,831.69,839.70,831.50,834.82,1594700,834.82
2013-03-08,834.50,834.92,825.05,831.52,2911900,831.52
2013-03-07,834.06,836.62,829.58,832.60,2052700,832.60
2013-03-06,841.03,844.00,828.81,831.38,2873000,831.38
2013-03-05,828.93,840.15,828.90,838.60,4044100,838.60
2013-03-04,805.30,822.84,805.00,821.50,2775600,821.50
2013-03-01,797.80,807.14,796.15,806.19,2175400,806.19
2013-02-28,801.10,806.99,801.03,801.20,2265800,801.20
2013-02-27,794.80,804.75,791.11,799.78,2026100,799.78
2013-02-26,795.00,795.95,784.40,790.13,2202500,790.13
2013-02-25,802.30,808.41,790.49,790.77,2303900,790.77
2013-02-22,799.26,801.25,793.80,799.71,2053900,799.71
2013-02-21,798.00,805.45,791.22,795.53,3506400,795.53
2013-02-20,805.30,808.97,791.79,792.46,2764200,792.46
